0,1,A0101,0.7196264740117191
1,2,A3301,0.8200953441969809
2,3,B4403,0.326966352661016
3,4,B5401,0.8559828452007459
4,5,B0801,0.7521957895280649
5,6,B5101,0.705718507491745
6,7,A3002,0.38143413989288705
7,8,A3001,0.166486896208262
8,9,A0301,0.614274871555406
9,10,A1101,0.725750009372797
10,11,A3201,0.621547143590201
11,12,B5801,0.389733977577847
12,13,B3501,0.39752509716765394
13,14,A6802,0.8338450452254079
14,15,A6801,0.728538423984765
15,16,B0702,0.32151515060116304
16,17,A3101,0.862765065778738
17,18,B5301,0.615940244228687
18,19,B5701,0.43942185178100296
19,20,A0203,0.427485040954438
20,21,A0202,0.43335247958469897
21,22,A0201,0.623594521110501
22,23,A0206,0.602182242891552
23,24,A2902,0.6588489008338471
24,25,A0205,0.480417482229848
25,26,B3801,0.023350897786216
26,27,B2705,0.175371164231428
27,28,B1501,0.0149246987317967
28,29,A2402,0.548401634988427
